content_id	page_name	single_name	content_id_f	media_type	content_type	channel_id
649806	推荐	这些人，那些事 第1集	15682090499050	1	单曲	1620773269563219968
687039	推荐	《抠门的老妈》方清平	15706068579946	1	单曲	1620773269563219968
687039	相声小品	《抠门的老妈》方清平	15706068579946	1	单曲	1623983072225660928
1523684	云医	赵绵松 | 3种痛风降酸药，到底应该怎么选？	16264150082190	1	单曲	1620974685804187648
1523684	推荐	赵绵松 | 3种痛风降酸药，到底应该怎么选？	16264150082190	1	单曲	1620773269563219968
1754107	推荐	【立夏篇】安徽休宁：乌米饭飘香迎立夏	16490756857500	1	单曲	1620773269563219968
2249726	人文	【秋】《未选择的路》作者：〔美〕罗伯特·弗罗斯特	16792969741170	1	单曲	1623993297578160128
2249726	推荐	【秋】《未选择的路》作者：〔美〕罗伯特·弗罗斯特	16792969741170	1	单曲	1620773269563219968
2262628	推荐	梧州骑楼：握手楼里看中和	16967493104870	1	单曲	1620773269563219968
2311927	听书	第一集 “温情”里的圈套	17037283649050	1	单曲	1623515436593418240
2311927	听剧	第一集 “温情”里的圈套	17037283649050	1	单曲	1625080080533475328
2311927	推荐	第一集 “温情”里的圈套	17037283649050	1	单曲	1620773269563219968
2314929	人文	 晨钟暮鼓说焦大｜为什么说焦大是“忠义之仆”？	17000418196780	1	单曲	1623993297578160128
2314929	推荐	 晨钟暮鼓说焦大｜为什么说焦大是“忠义之仆”？	17000418196780	1	单曲	1620773269563219968
2319615	人文	在唐朝，石榴为何会成为人人追逐的“潮流单品”？	17048658384920	1	单曲	1623993297578160128
2319615	推荐	在唐朝，石榴为何会成为人人追逐的“潮流单品”？	17048658384920	1	单曲	1620773269563219968
2378438	人文	张海迪《生命的追问》（节选）	17120260553100	1	单曲	1623993297578160128
2378438	推荐	张海迪《生命的追问》（节选）	17120260553100	1	单曲	1620773269563219968
2419450	典藏	历史瞬间｜我国最早的定休制度出现于何时？	17150757771570	1	单曲	1624027415938576384
2419450	历史	历史瞬间｜我国最早的定休制度出现于何时？	17150757771570	1	单曲	1625337162234990592
2470971	云医	鸡蛋｜范志红：每天应该吃几个鸡蛋？	17155704912900	1	单曲	1620974685804187648
2470971	推荐	鸡蛋｜范志红：每天应该吃几个鸡蛋？	17155704912900	1	单曲	1620773269563219968
2480266	推荐	给自己多一点耐心	17213526201800	1	单曲	1620773269563219968
2480266	评书	给自己多一点耐心	17213526201800	1	单曲	1623983440816939008
2512249	推荐	首席来了｜中国爱乐乐团铜管五重奏（一）	17288627567460	1	单曲	1620773269563219968
2512249	音乐	首席来了｜中国爱乐乐团铜管五重奏（一）	17288627567460	1	单曲	1625081590034161664
2543613	人文	《山海经》有多少个版本？	17205753480100	1	单曲	1623993297578160128
2543613	推荐	《山海经》有多少个版本？	17205753480100	1	单曲	1620773269563219968
2543613	教育	《山海经》有多少个版本？	17205753480100	1	单曲	1623994492711493632
2593569	历史	第1集 这个后生不简单（上）	17394311240910	1	单曲	1625337162234990592
2593569	推荐	第1集 这个后生不简单（上）	17394311240910	1	单曲	1620773269563219968
2600573	戏曲	戏韵传奇：白蛇传（一）	17399315515670	1	单曲	1625081767709007872
2600573	推荐	戏韵传奇：白蛇传（一）	17399315515670	1	单曲	1620773269563219968
2629034	听书	片花	17425517483950	1	单曲	1623515436593418240
2629034	推荐	片花	17425517483950	1	单曲	1620773269563219968
2685839	典藏	风波亭 第一段	17441816194230	1	单曲	1624027415938576384
2685839	戏曲	风波亭 第一段	17441816194230	1	单曲	1625081767709007872
2685839	推荐	风波亭 第一段	17441816194230	1	单曲	1620773269563219968
2709712	推荐	《最美劳动者》陈印泉、侯振鹏	17259555276460	1	单曲	1620773269563219968
2709712	相声小品	《最美劳动者》陈印泉、侯振鹏	17259555276460	1	单曲	1623983072225660928
2720118	人文	第3集 三家分晋战国开篇（上）	17455626757790	1	单曲	1623993297578160128
2720118	推荐	第3集 三家分晋战国开篇（上）	17455626757790	1	单曲	1620773269563219968
2745523	典藏	海青天 第一回	17482541441310	1	单曲	1624027415938576384
